lat,lng,speedLimit,heading,type
34.591681,127.413538,60,-1,0
34.593401,127.4461,60,-1,0
34.594101,127.417,30,-1,0
34.599063,127.304233,60,-1,0
34.599346,126.075349,30,-1,0
34.600194,127.278204,30,-1,0
34.601819,126.927237,60,-1,0
34.602747,127.456047,30,-1,0
34.602902,127.456404,30,-1,0
34.604639,127.280888,30,-1,0
34.605375,127.276705,30,-1,0
34.605581,127.279386,0,-1,0
34.605701,126.3131,30,-1,0
34.607334,127.279012,0,-1,0
34.60736,127.283614,0,-1,0
34.607667,127.277572,0,-1,0
34.607683,127.285978,0,-1,0
34.607694,127.281881,0,-1,0
34.60801,127.290119,30,-1,0
34.608103,127.289813,30,-1,0
34.608301,126.313823,70,-1,0
34.608743,126.314122,70,-1,0
34.608799,127.288333,0,-1,0
34.609087,127.282605,0,-1,0
34.609396,127.288808,30,-1,0
34.609549,127.288914,30,-1,0
34.610581,127.282106,0,-1,0
34.613873,127.289937,30,-1,0
34.614201,127.290133,30,-1,0
34.614769,126.022445,30,-1,0
34.614788,126.788901,60,-1,0
34.615951,126.915332,30,-1,0
34.616647,127.729634,30,-1,0
34.617385,126.791037,50,-1,0
34.617701,126.5704,30,-1,0
34.61955,126.751159,80,-1,0
34.619775,126.750874,80,-1,0
34.621412,127.295128,80,-1,0
34.622262,126.922369,60,-1,0
34.622381,127.273135,60,-1,0
34.622884,127.471098,40,-1,0
34.626507,126.764799,80,-1,0
34.627348,126.784971,80,-1,0
34.627417,126.902101,60,-1,0
34.628111,126.790889,60,-1,0
34.628306,126.790139,60,-1,0
34.630596,127.49336,60,-1,0
34.631032,127.015215,60,-1,0
34.633811,126.766342,50,-1,0
34.633923,126.766429,50,-1,0
34.634466,126.283469,50,-1,0
34.634679,126.281678,50,-1,0
34.635064,126.768354,50,-1,0
34.636543,126.762753,30,-1,0
34.636667,126.765778,30,-1,0
34.636995,126.766228,30,-1,0
34.637231,126.980927,60,-1,0
34.639167,126.77575,30,-1,0
34.639279,127.024435,60,-1,0
34.63931,127.627743,30,-1,0
34.639556,126.776,30,-1,0
34.64002,126.809727,80,-1,0
34.641472,126.775639,30,-1,0
34.641518,126.775354,30,-1,0
34.642154,126.317398,70,-1,0
34.642165,127.034988,60,-1,0
34.642452,126.78329,30,-1,0
34.642639,126.783639,30,-1,0
34.643355,126.444824,60,-1,0
34.643417,126.788417,30,-1,0
34.644201,126.448,30,-1,0
34.644972,126.785942,30,-1,0
34.645167,126.785972,30,-1,0
34.645201,126.6592,40,-1,0
34.645285,126.788289,30,-1,0
34.645315,126.659236,40,-1,0
34.646065,126.318178,70,-1,0
34.646225,127.273258,30,-1,0
34.646566,127.275058,30,-1,0
34.647529,126.81726,30,-1,0
34.647972,126.817639,30,-1,0
34.64817,126.737919,80,-1,0
34.648594,126.972219,50,-1,0
34.649784,126.671098,80,-1,0
34.650087,126.778003,30,-1,0
34.650746,126.973312,30,-1,0
34.651709,126.730818,80,-1,0
34.652033,126.887281,60,-1,0
34.65233,127.382676,30,-1,0
34.652935,126.587738,60,-1,0
34.654125,127.316817,80,-1,0
34.655382,127.319511,80,-1,0
34.658722,126.960667,60,-1,0
34.662331,126.677898,80,-1,0
34.666206,126.889602,30,-1,0
34.666239,126.889628,30,-1,0
34.672168,126.94715,60,-1,0
34.67234,127.086377,30,-1,0
34.672348,127.086437,30,-1,0
34.672601,126.3334,30,-1,0
34.672686,126.333471,30,-1,0
34.675115,126.908013,30,-1,0
34.675522,126.901628,30,-1,0
34.675833,126.901694,30,-1,0
34.675901,126.4108,30,-1,0
34.676246,126.94352,60,-1,0
34.676296,126.905766,50,-1,0
34.677087,126.915463,40,-1,0
34.678861,127.358559,30,-1,0
34.678874,127.358066,30,-1,0
34.679291,126.90213,30,-1,0
34.67933,126.901969,30,-1,0
34.679383,126.723393,60,-1,0
34.680965,126.904579,50,-1,0
34.682347,126.907353,30,-1,0
34.682426,126.907223,30,-1,0
34.684001,126.43209,60,-1,0
34.684127,126.431791,60,-1,0
34.685001,126.906694,50,-1,0
34.685203,127.369238,80,-1,0
34.685278,126.907194,50,-1,0
34.685419,126.331966,70,-1,0
34.685759,127.595497,30,-1,0
34.685796,127.594381,30,-1,0
34.685955,126.904292,30,-1,0
34.686054,126.904222,30,-1,0
34.687466,126.714975,80,-1,0
34.688601,127.366542,80,-1,0
34.688833,126.918917,30,-1,0
34.690968,126.706862,30,-1,0
34.693114,127.766893,60,-1,0
34.693222,126.708278,30,-1,0
34.693222,126.708306,30,-1,0
34.693682,127.612379,70,-1,0
34.694273,126.711495,80,-1,0
34.695194,127.35925,80,-1,0
34.695609,126.366353,70,-1,0
34.695867,126.366704,70,-1,0
34.697714,126.678628,80,-1,0
34.697823,126.678664,80,-1,0
34.698314,126.346361,70,-1,0
34.69839,126.346031,70,-1,0
34.698718,126.82756,60,-1,0
34.699312,126.574144,30,-1,0
34.699414,126.575061,30,-1,0
34.701937,126.708183,80,-1,0
34.702501,126.708361,80,-1,0
34.702646,125.952883,30,-1,0
34.703417,126.772944,30,-1,0
34.703476,126.772939,30,-1,0
34.705871,127.353313,80,-1,0
